Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","22645.0185","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","22645.0185","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","22760.161","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","22760.161","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","23823.4735","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","23823.4735","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","24641.025","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","24641.025","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","24571.6745","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","24571.6745","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2018","2018","3050","FAO TIER 1","kt","130512.3064","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2018","2018","3050","FAO TIER 1","kt","130512.3064","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2019","2019","3050","FAO TIER 1","kt","129051.7872","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2019","2019","3050","FAO TIER 1","kt","129051.7872","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2020","2020","3050","FAO TIER 1","kt","135277.6012","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2020","2020","3050","FAO TIER 1","kt","135277.6012","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2021","2021","3050","FAO TIER 1","kt","136784.97","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2021","2021","3050","FAO TIER 1","kt","136784.97","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2022","2022","3050","FAO TIER 1","kt","137143.552","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2022","2022","3050","FAO TIER 1","kt","137143.552","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","3674.5716","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2018","2018","3050","FAO TIER 1","kt","901.636","E","Estimated value",""
